country;dimension;group;item;lat_mean;lat_var;a;b1;b2;b3;b4
IND;R;1;R2;0;1;1,36098066;-0,641439397;0,070143995;1,081495979;2,061137369
IND;R;1;R3;0;1;1,130965877;-0,705460963;0,176055522;1,058159784;2,273490331
IND;R;1;R4;0;1;1,34707024;-1,608347309;-0,809990725;0,100777061;1,150386925
IND;R;1;R5;0;1;2,318943334;-0,468749999;0,258815664;1,026575748;1,705405493
IND;R;1;R6;0;1;1,826340797;-1,035989388;-0,332231983;0,580605135;1,531622776
IND;R;1;R7;0;1;2,488196096;-0,980537397;-0,273584432;0,44393991;1,049323049
IND;R;1;R8;0;1;1,824094825;-0,572016473;0,238780978;1,067626042;1,845214244
IND;R;2;R1;-0,625966422;1,088852998;1,058363862;-1,956950473;-1,258491795;0,10795666;1,139825435
IND;R;2;R2;-0,625966422;1,088852998;1,36098066;-0,641439397;0,070143995;1,081495979;2,061137369
IND;R;2;R3;-0,625966422;1,088852998;1,515187461;-0,40211567;0,483145862;1,364582123;2,046686396
IND;R;2;R4;-0,625966422;1,088852998;1,916485865;-1,015135931;-0,354725785;0,392189327;1,13721053
IND;R;2;R5;-0,625966422;1,088852998;2,318943334;-0,468749999;0,258815664;1,026575748;1,705405493
IND;R;2;R6;-0,625966422;1,088852998;1,826340797;-1,035989388;-0,332231983;0,580605135;1,531622776
IND;R;2;R7;-0,625966422;1,088852998;2,488196096;-0,980537397;-0,273584432;0,44393991;1,049323049
IND;R;2;R8;-0,625966422;1,088852998;1,824094825;-0,572016473;0,238780978;1,067626042;1,845214244
IND;I;1;I1;0;1;1,509580652;-1,593262671;-0,959560259;-0,087483514;0,877495148
IND;I;1;I2;0;1;1,646802201;-1,280745431;-0,6550673;-0,019727157;0,92736529
IND;I;1;I3;0;1;2,727515008;-0,956093694;-0,354188087;0,179463288;0,882761054
IND;I;1;I4;0;1;1,903355546;-1,13688211;-0,370213339;0,34920291;1,118926789
IND;I;1;I5;0;1;3,598341564;-0,693853539;-0,175156768;0,396123085;1,060494748
